S_CUSTNO;COGNITIONSOURCE;I_CASES;I_YEAR
1003994;UHD;2;2021
1003994;UHD;2;2022
1003996;UHD;24;2014
1003996;UHD;93;2015
1003996;UHD;106;2016
1003996;UHD;133;2017
1003996;UHD;158;2018
1003996;UHD;196;2019
1003996;UHD;190;2020
1003996;UHD;330;2021
1003996;UHD;53;2022
1003997;UHD;6;2015
1003997;UHD;3;2016
1004002;UHD;14;2014
1004002;UHD;25;2015
1004002;UHD;39;2016
1004002;UHD;35;2017
1004002;UHD;16;2018
1004002;UHD;23;2019
1004005;UHD;7;2014
1004005;UHD;14;2015
1004010;UHD;10;2014
1004010;UHD;23;2015
1004010;UHD;33;2016
1004010;UHD;22;2017
1004010;UHD;29;2018
1004010;UHD;40;2019
1004010;UHD;31;2020
1004010;UHD;43;2021
1004010;UHD;10;2022
1004011;UHD;1;2014
1004011;UHD;8;2015
1004011;UHD;1;2016
1004011;UHD;10;2017
1004011;UHD;5;2018
1004011;UHD;7;2019
1004011;UHD;3;2020
1004011;UHD;0;2021
1004011;UHD;0;2022
1004012;UHD;22;2014
1004012;UHD;92;2015
1004012;UHD;108;2016
1004012;UHD;129;2017
1004012;UHD;114;2018
1004012;UHD;131;2019
1004012;UHD;112;2020
1004012;UHD;89;2021
1004012;UHD;22;2022
1004013;UHD;27;2014
1004013;UHD;40;2015
1004013;UHD;94;2016
1004013;UHD;79;2017
1004013;UHD;84;2018
1004013;UHD;188;2019
1004013;UHD;212;2020
1004013;UHD;174;2021
1004013;UHD;57;2022
1004014;UHD;3;2014
1004014;UHD;38;2015
1004014;UHD;29;2016
1004014;UHD;19;2017
1004014;UHD;17;2018
1004014;UHD;33;2019
1004014;UHD;19;2020
1004014;UHD;28;2021
1004014;UHD;14;2022
1004015;UHD;6;2014
1004015;UHD;52;2015
1004015;UHD;68;2016
1004015;UHD;51;2017
1004015;UHD;72;2018
1004015;UHD;65;2019
1004015;UHD;37;2020
1004015;UHD;57;2021
1004015;UHD;15;2022
1004019;UHD;13;2014
1004019;UHD;74;2015
1004019;UHD;82;2016
1004019;UHD;131;2017
1004019;UHD;105;2018
1004019;UHD;119;2019
1004019;UHD;128;2020
1004019;UHD;105;2021
1004019;UHD;26;2022
1004021;UHD;17;2014
1004021;UHD;101;2015
1004021;UHD;74;2016
1004021;UHD;66;2017
1004021;UHD;63;2018
1004021;UHD;61;2019
1004021;UHD;98;2020
1004021;UHD;88;2021
1004021;UHD;28;2022
1004027;UHD;17;2014
1004027;UHD;59;2015
1004027;UHD;71;2016
1004027;UHD;66;2017
1004027;UHD;29;2018
1004027;UHD;67;2019
1004027;UHD;92;2020
1004027;UHD;58;2021
1004027;UHD;11;2022
1004032;UHD;17;2014
1004032;UHD;66;2015
1004032;UHD;107;2016
1004032;UHD;43;2017
1004032;UHD;65;2018
1004032;UHD;77;2019
1004032;UHD;91;2020
1004032;UHD;96;2021
1004032;UHD;36;2022
1004035;UHD;7;2014
1004035;UHD;37;2015
1004035;UHD;57;2016
1004035;UHD;33;2017
1004035;UHD;35;2018
1004035;UHD;61;2019
1004035;UHD;81;2020
1004035;UHD;66;2021
1004035;UHD;22;2022
1004036;UHD;4;2014
1004036;UHD;24;2015
1004036;UHD;29;2016
1004036;UHD;23;2017
1004036;UHD;23;2018
1004036;UHD;40;2019
1004036;UHD;29;2020
1004036;UHD;54;2021
1004036;UHD;17;2022
1004040;UHD;1;2014
1004040;UHD;15;2015
1004040;UHD;16;2016
1004040;UHD;12;2017
1004040;UHD;11;2018
1004040;UHD;7;2019
1004040;UHD;11;2020
1004040;UHD;5;2021
1004040;UHD;5;2022
1004041;UHD;0;2014
1004048;UHD;6;2014
1004048;UHD;39;2015
1004048;UHD;52;2016
1004048;UHD;54;2017
1004048;UHD;42;2018
1004048;UHD;48;2019
1004048;UHD;76;2020
1004048;UHD;100;2021
1004048;UHD;29;2022
1004055;UHD;39;2014
1004055;UHD;90;2015
1004055;UHD;122;2016
1004055;UHD;105;2017
1004055;UHD;101;2018
1004055;UHD;140;2019
1004055;UHD;136;2020
1004055;UHD;115;2021
1004055;UHD;39;2022
1004061;UHD;19;2014
1004061;UHD;89;2015
1004061;UHD;50;2016
1004061;UHD;58;2017
1004061;UHD;47;2018
1004061;UHD;50;2019
1004061;UHD;65;2020
1004061;UHD;50;2021
1004061;UHD;13;2022
1004064;UHD;0;2015
1004064;UHD;2;2016
1004064;UHD;5;2017
1004064;UHD;0;2018
1004072;UHD;14;2014
1004072;UHD;53;2015
1004072;UHD;64;2016
1004072;UHD;70;2017
1004072;UHD;57;2018
1004072;UHD;98;2019
1004072;UHD;69;2020
1004072;UHD;80;2021
1004072;UHD;18;2022
1004074;UHD;0;2014
1004074;UHD;1;2015
1004074;UHD;9;2016
1004074;UHD;2;2017
1004074;UHD;0;2018
1004074;UHD;0;2019
1004074;UHD;2;2020
1004074;UHD;1;2021
